Topic,Word,Frequency
442,personal,1
443,use,1
444,forget,1
445,wrist,1
446,watch,2
447,hublot,1
448,golden,1
449,kindly,1
450,checking,1
451,takes,1
452,minutes,1
453,pass,2
454,gates,1
455,wonder,1
456,government,1
457,opening,1
458,checkin,1
459,points,1
460,haha,1
461,mom,1
462,gave,1
463,pure,1
464,desi,1
465,ghee,1
466,main,1
467,ingredient,1
468,haryanvi,1
469,diet,1
470,found,1
471,new,1
472,parents,1
473,son,1
474,born,1
475,returning,1
476,bombay,1
477,reached,1
478,realised,1
479,ticket,1
480,allow,1
481,board,1
482,chennai,2
483,11,1
484,10pm,1
485,flight,1
486,reach,1
487,9,1
488,45,1
489,travelling,1
490,international,1
491,nagpur,1
492,bangalore,26
493,airport,27
494,security,31
495,check,27
496,organized,1
497,process,2
498,one,3
499,slowest,1
500,beside,1
501,29th,1
502,may,1
503,leaving,1
504,delhi,1
505,modi,3
506,swearing,1
507,never,3
508,really,3
509,thought,1
510,would,1
511,back,3
512,cm,1
513,soon,1
514,today,3
515,3,1
516,queues,2
517,men,3
518,queue,2
519,women,2
520,many,1
521,travel,2
522,reason,2
523,ridiculousness,1
524,massive,1
525,traffic,1
526,jam,1
527,since,2
528,4,1
529,30,2
530,pm,2
531,full,1
532,thursday,1
533,normally,1
534,trips,1
535,short,1
536,take,2
537,shoulder,1
538,bag,2
539,nowadays,1
540,strict,1
541,things,2
542,carry,2
543,id,3
544,flying,1
545,chennai,5
546,amp,1
547,tells,1
548,city,1
549,work,1
550,without,1
551,physical,1
552,though,1
553,need,1
554,card,1
555,less,1
556,let,2
557,flight,3
558,hai,2
559,munkin,1
560,crowd,1
561,update,1
562,state,1
563,wise,1
564,regulations,1
565,uttarakhand,1
566,asks,1
567,negative,1
568,rt,1
569,pcr,1
570,least,1
571,72,1
572,hours,1
573,prior,1
574,point,1
575,travelled,1
576,dehradun,1
577,staff,1
578,either,1
579,side,1
580,sir,1
581,remove,2
582,every,1
583,single,1
584,item,1
585,bags,2
586,emptying,1
587,strewing,1
588,items,2
589,name,1
590,checking,2
591,scanning,1
592,1st,1
593,place,1
594,sitting,1
595,scanner,1
596,terrible,1
597,exp,1
598,comedy,1
599,sharing,1
600,asked,1
601,leave,1
602,frooti,1
603,bottles,2
604,tab,1
605,se,1
606,frustrated,1
607,tha,1
608,expect,1
609,delays,1
610,extended,1
611,ground,1
612,floor,1
613,pathetically,1
614,slow,2
615,morning,1
616,fastag,1
617,mess,1
618,accumulated,1
619,gone,1
620,crazier,1
621,thanks,1
622,chakravyugam,1
623,based,1
624,handbaggage,1
625,system,1
626,get,2
627,extremely,1
628,entitled,1
629,person,1
630,screaming,1
631,match,1
632,guards,2
633,apparently,1
634,said,1
635,bomb,2
636,sarcastically,1
637,whole,1
638,threat,1
639,exercise,1
640,delayed,1
641,everyone,1
642,good,1
643,half,1
644,hour,1
645,surprised,1
646,see,1
647,collection,2
648,deodorant,1
649,real,1
650,personal,1
651,use,1
652,forget,1
653,wrist,1
654,watch,2
655,hublot,1
656,golden,1
657,kindly,1
658,takes,1
659,minutes,1
660,pass,2
661,gates,1
662,wonder,1
663,government,1
664,opening,1
665,checkin,1
666,points,1
667,haha,1
668,mom,1
669,gave,1
670,pure,1
671,desi,1
672,ghee,1
673,main,1
674,ingredient,1
675,haryanvi,1
676,diet,1
677,found,1
678,new,1
679,parents,1
680,son,1
681,born,1
682,returning,1
683,bombay,1
684,reached,1
685,realised,1
686,ticket,1
687,lmao,1
688,tell,1
689,story,1
690,la,1
691,took,1
692,camera,1
693,identified,1
694,sharp,1
695,object,1
696,pulled,1
697,aside,1
698,extra,1
699,checks,1
700,go,1
701,want,1
702,risk,1
703,international,2
704,left,1
705,home,1
706,started,1
707,asking,1
708,passengers,1
709,metal,2
710,like,1
711,curious,1
712,case,1
713,earlier,1
714,nothing,1
715,else,1
716,context,1
717,seemed,1
718,changed,2
719,wondered,1
720,actually,1
721,threw,1
722,away,1
723,water,1
724,bottle,1
725,saying,1
726,100,2
727,ml,2
728,nvr,1
729,used,1
730,tho,1
731,bought,1
732,another,1
733,frm,1
734,longue,1
735,fun,1
736,part,1
737,sell,1
738,fucking,2
739,alcohol,1
740,r,1
741,def,1
742,gt,1
743,business,1
744,minds,1
745,allow,1
746,board,1
747,11,1
748,10pm,1
749,reach,1
750,9,1
751,45,1
752,travelling,1
753,nagpur,1
754,bangalore,21
755,airport,21
756,security,22
757,check,21
758,organized,1
759,process,1
760,one,2
761,slowest,1
762,finally,1
763,help,1
764,friends,1
765,booked,1
766,qatar,1
767,airways,1
768,flight,2
769,next,1
770,available,1
771,reached,2
772,question,1
773,1,1
774,possible,1
775,raise,1
776,complaint,1
777,oman,1
778,air,1
779,frankfurt,1
780,lufthansa,1
781,2,1
782,claim,1
783,beside,1
784,29th,1
785,may,1
786,leaving,1
787,delhi,1
788,modi,1
789,swearing,1
790,never,2
791,really,3
792,thought,1
793,would,1
794,back,1
795,cm,1
796,soon,1
797,today,2
798,3,1
799,queues,2
800,men,2
801,queue,2
802,women,2
803,many,1
804,travel,1
805,reason,2
806,ridiculousness,1
807,massive,1
808,traffic,1
809,jam,1
810,since,2
811,4,1
812,30,2
813,pm,2
814,full,1
815,thursday,1
816,normally,1
817,trips,1
818,short,1
819,take,1
820,shoulder,1
821,bag,1
822,nowadays,1
823,strict,1
824,things,1
825,crowd,1
826,comedy,1
827,sharing,1
828,asked,1
829,leave,1
830,frooti,1
831,bottles,1
832,tab,1
833,se,1
834,frustrated,1
835,tha,1
836,expect,1
837,delays,1
838,extended,1
839,ground,1
840,floor,1
841,pathetically,1
842,slow,2
843,morning,1
844,fastag,1
845,mess,1
846,accumulated,1
847,gone,1
848,crazier,1
849,thanks,1
850,chakravyugam,1
851,based,1
852,handbaggage,1
853,system,1
854,get,2
855,surprised,1
856,see,1
857,collection,2
858,deodorant,1
859,real,1
860,personal,1
861,use,1
862,forget,1
863,wrist,1
864,watch,2
865,hublot,1
866,golden,1
867,kindly,1
868,checking,1
869,takes,1
870,minutes,1
871,pass,2
872,gates,1
873,wonder,1
874,government,1
875,opening,1
876,checkin,1
877,points,1
878,haha,1
879,mom,1
880,gave,1
881,pure,1
882,desi,1
883,ghee,1
884,main,1
885,ingredient,1
886,haryanvi,1
887,diet,1
888,found,1
889,new,1
890,parents,1
891,son,1
892,born,1
893,returning,1
894,bombay,1
895,realised,1
896,ticket,1
897,allow,1
898,board,1
899,chennai,2
900,11,1
901,10pm,1
902,reach,1
903,9,1
904,45,1
905,travelling,1
906,international,1
907,nagpur,1
