Topic,Word,Frequency
442,sister,1
443,h4,1
444,visa,3
445,denied,1
446,board,2
447,flight,2
448,saying,3
449,usa,4
450,travel,4
451,ban,2
452,travelled,1
453,outside,1
454,last,2
455,1,3
456,care,1
457,share,1
458,resource,1
459,citing,1
460,holders,2
461,forcefully,1
462,quarantined,1
463,hospital,2
464,authority,1
465,returned,1
466,brazil,1
467,without,4
468,yellow,1
469,fever,1
470,vaccine,1
471,taken,1
472,unfair,1
473,allowed,1
474,quarantine,1
475,blrairport,1
476,mohfw_india,1
477,pmoindia,1
478,domestic,1
479,airlines,1
480,driving,2
481,licence,2
482,id,5
483,proof,1
484,atleast,1
485,soft,1
486,copy,2
487,chennai,1
488,vale,1
489,tinder,1
490,leke,1
491,pe,2
492,matches,1
493,dhund,1
494,rahe,1
495,honge,1
496,security,4
497,use,1
498,fast,1
499,dry,1
500,ink,2
501,stamp,2
502,boarding,3
503,pass,4
504,mess,1
505,unhealthy,1
506,folks,1
507,ocd,1
508,quite,2
509,astonishing,1
510,often,1
511,show,1
512,ever,2
513,need,2
514,experts,1
515,dumbest,1
516,bags,2
517,80,1
518,times,2
519,walk,1
520,right,1
521,around,1
522,notice,1
523,customs,4
524,officers,3
525,asking,1
526,using,1
527,passangers,1
528,buy,2
529,liquer,2
530,duty,2
531,free,2
532,shop,2
533,also,2
534,sale,1
535,higher,1
536,price,1
537,side,1
538,custom,1
539,made,1
540,whiskey,1
541,gave,1
542,70,1
543,hello,2
544,minister,1
545,landed,1
546,long,1
547,time,1
548,two,2
549,peculiar,1
550,things,1
551,elsewhere,1
552,like,1
553,delhi,1
554,x,1
555,ray,1
556,screening,1
557,whether,1
558,stamped,1
559,sorry,1
560,bother,1
561,son,2
562,getting,1
563,clearance,1
564,going,1
565,nepal,1
566,aadhar,2
567,pan,1
568,students,1
569,voter,1
570,documents,1
571,compulsory,1
572,pls,1
573,reply,1
574,early,1
575,welcome,1
576,change,1
577,separate,1
578,finish,1
579,official,1
580,checks,1
581,seal,1
582,ran,1
583,old,3
584,friend,1
585,waiting,1
586,line,1
587,point,1
588,seen,1
589,years,2
590,husband,1
591,stoped,1
592,revoked,1
593,ad,1
594,embassy,1
595,six,1
596,validity,1
597,arrive,1
598,get,2
599,stamping,1
600,arrival,1
601,lost,3
602,lol,1
603,day,2
604,minute,1
605,world,1
606,via,1
607,youtube,1
608,stranded,1
609,associated,1
610,pr,1
611,madam,1
612,19,1
613,yr,1
614,harassed,1
615,120,1
616,tv,1
617,smoothest,1
618,process,1
619,take,1
620,corrupt,1
621,bombay,1
622,held,2
623,hostage,1
624,benchmark,1
625,worst,2
626,even,1
627,top,1
628,10,1
629,sir,1
630,global,1
631,audience,1
632,tweeting,1
633,would,2
634,harm,1
635,brand,1
636,30,2
637,min,1
638,longer,1
639,que,1
640,foreign,1
641,queue,1
642,rude,1
643,unprofessional,1
644,communication,1
645,skills,1
646,welcoming,1
647,visitors,1
648,impounded,2
649,10th,1
650,june,1
651,2018,1
652,bureau,1
653,stating,1
654,per,1
655,system,1
656,giving,1
657,opportunity,1
658,heard,1
659,money,3
660,bookings,1
661,fault,1
662,pleasehelpme,1
663,sri,1
664,lankan,1
665,caught,2
666,coming,2
667,srilanka,1
668,nofilter,1
669,shoes,1
670,20,1
