Topic,Word,Frequency
439,one,7
440,best,2
441,world,2
442,bag,2
443,collection,1
444,nightmare,2
445,usually,2
446,takes,2
447,1,5
448,5,4
449,2,7
450,hours,9
451,get,5
452,bags,1
453,pretty,2
454,sure,2
455,babu,1
456,sprinkled,1
457,stardust,1
458,sir,6
459,nothing,2
460,beats,1
461,efficiency,1
462,landing,1
463,exit,2
464,45,2
465,minutes,4
466,process,4
467,far,1
468,better,3
469,compare,1
470,many,3
471,european,1
472,countries,1
473,kudos,1
474,team,1
475,behind,1
476,recently,3
477,interesting,1
478,conversation,2
479,check,11
480,officer,15
481,knowing,3
482,traveling,1
483,said,2
484,lucky,1
485,learn,1
486,science,1
487,everyday,1
488,day,3
489,cnr,1
490,rao,1
491,arrival,3
492,lounge,2
493,amazingly,1
494,good,2
495,amp,6
496,efficient,2
497,smiling,1
498,customs,4
499,agents,1
500,easy,1
501,happy,2
502,feeling,2
503,come,3
504,home,4
505,3,3
506,let,2
507,board,3
508,flight,6
509,5th,1
510,aug,1
511,night,4
512,plz,1
513,help,3
514,answer,1
515,thank,3
516,new,4
517,delhi,6
518,objection,1
519,received,1
520,authorities,3
521,regarding,1
522,detention,1
523,sandeep,2
524,son,2
525,resident,3
526,om,1
527,prakash,1
528,matching,1
529,details,2
530,bareta,1
531,accused,1
532,sacrilege,1
533,case,1
534,basis,1
535,loc,1
536,zigzackly,1
537,sign,1
538,humility,1
539,expect,2
540,know,3
541,family,2
542,connections,2
543,however,1
544,well,2
545,known,1
546,may,2
547,country,2
548,ask,1
549,ten,1
550,random,1
551,people,2
552,office,2
553,kapil,1
554,sharma,1
555,sudha,1
556,murthy,1
557,surprised,1
558,7pm,1
559,65,1
560,booths,1
561,empty,1
562,vishwaguru,1
563,demanding,1
564,yellow,1
565,fever,1
566,card,1
567,passenger,2
568,sudan,1
569,warzone,1
570,around,3
571,15,2
572,persons,1
573,morethan,1
574,hrs,1
575,hold,1
576,saying,1
577,keep,1
578,quarantine,1
579,6days,1
580,hospital,1
581,used,1
582,concierge,1
583,service,3
584,via,3
585,magnus,1
586,tthe,1
587,first,1
588,time,10
589,due,3
590,wait,5
591,getting,1
592,queue,2
593,counters,3
594,fast,3
595,track,1
596,tracked,1
597,security,7
598,big,2
599,problem,4
600,though,1
601,since,2
602,poe,1
603,us,7
604,india,7
605,assume,1
606,would,1
607,happen,1
608,also,3
609,collect,2
610,checked,2
611,luggage,1
612,hand,3
613,indigo,2
614,domestic,3
615,leg,1
616,prime,1
617,minister,1
618,narendra,1
619,modi,1
620,speak,4
621,kannada,9
622,dancer,2
623,salman,3
624,yusuf,1
625,khan,3
626,reveals,1
627,interaction,1
628,passengers,7
629,flying,2
630,riyadh,1
631,hyderabad,2
632,xy325,1
633,flynas,1
634,badly,1
635,stranded,2
636,kempegowda,1
637,bad,3
638,weather,1
639,conditions,1
640,kindly,2
641,allow,3
642,provide,1
643,clearance,2
644,matter,2
645,urgent,2
646,choreographer,1
647,yusuff,1
648,harassed,1
649,total,1
650,lie,1
651,staff,7
652,non,1
653,kannadiga,1
654,next,1
655,impossible,1
656,hear,2
657,even,6
658,word,2
659,always,7
660,happens,1
661,english,3
662,hindi,3
663,guy,3
664,simply,1
665,speaking,2
666,nonsense,1
667,never,4
668,heard,1
669,funny,2
670,bullshit,1
671,claim,1
672,ko,1
673,itna,1
674,nai,1
675,rehta,1
676,bakchodi,1
677,plus,3
678,cisf,3
679,hardly,1
680,officers,1
681,monday,1
682,take,5
683,shameful,1
684,harassment,1
685,yousuf,1
686,long,5
687,escalates,1
688,lynching,1
689,seems,1
690,opportunities,1
691,days,2
692,faking,1
693,publicity,1
694,saw,2
695,found,1
696,chill,1
697,guys,3
698,auto,1
699,knowledge,1
700,bhimaru,1
701,states,1
702,engineer,1
703,baglanayantara,1
704,travel,6
705,feel,2
706,worst,3
707,hit,1
708,become,2
709,hell,1
710,u,1
711,fix,1
712,hour,2
713,30,2
714,mins,1
715,jour,1
716,que,1
717,dear,1
718,thier,1
719,much,3
720,problems,2
721,facing,1
722,passangers,1
723,seprate,1
724,handicapped,1
725,rectify,1
726,immediately,2
727,verst,1
728,seen,1
729,life,1
730,12,2
731,30am,1
732,super,1
733,crazy,2
734,took,1
735,kannur,1
736,passport,3
737,center,1
738,lesser,1
739,issue,1
740,stamp,2
741,passports,1
742,4,4
743,indians,2
744,coming,1
745,back,2
746,unhealthy,1
747,system,2
748,flyethiopiancom,1
749,rude,1
750,listens,1
751,whatever,1
752,trying,1
753,make,2
754,presence,1
755,felt,2
756,stage,1
757,g20org,1
758,yet,1
759,stand,1
760,line,3
761,able,2
762,several,1
763,dedicated,1
764,g20,1
765,delegates,1
766,hey,2
767,crowded,4
768,year,1
769,gotten,1
770,done,4
771,really,2
772,arrive,1
773,finish,1
774,another,1
775,official,1
776,checks,3
777,entry,1
778,seal,1
779,worked,1
780,standing,1
781,cluster,1
782,fuck,1
783,bright,1
784,side,1
785,got,5
786,3am,1
787,queues,3
788,airindiain,1
789,ai,2
790,sats,1
791,gate,2
792,car,1
793,25mins,1
794,including,1
795,baggage,3
796,xray,1
797,male,1
798,departure,1
799,handled,1
800,inflight,1
801,working,2
802,like,6
803,ground,1
804,handling,1
805,ordeal,1
806,less,1
