Topic,Word,Frequency
436,clearly,1
437,rather,1
438,I've,1
439,seen,1
440,India.,2
441,Feels,1
442,architecture,1
443,desert...,1
444,soft,1
445,drinks...,1
446,Please,1
447,learn,1
448,others.,1
449,Airport,6
450,domestic,1
451,lounge!,1
452,"vibe,",1
453,food.Trying,1
454,fit.,1
455,also,2
456,B2B,1
457,ingredients,1
458,supply,1
459,business.Yeah,1
460,around,1
461,reach,1
462,Sunday,1
463,BluSmart.,1
464,Good,1
465,Food,1
466,-,1
467,Coming,1
468,soon,1
469,Airport.Image,1
470,"Bengaluru,",1
471,Lodged,1
472,request,1
473,28,1
474,Sep,2
475,repair,1
476,;,1
477,27,1
478,disappointed,1
479,corporate,1
480,meal,2
481,today's,1
482,Blr,1
483,Hyd,1
484,flight.,2
485,BLR,3
486,.,1
487,Hello,1
488,Rahees,1
489,",food",1
490,"great,and",1
491,beverages,2
492,fine.,1
493,variety,1
494,dosas,1
495,from.,1
496,Masala,1
497,dosa,3
498,plain,1
499,"dosa,",1
500,try,1
501,today.,2
502,Grabbed,1
503,quick,2
504,Airport's,2
505,court.,1
506,aloo,1
507,paratha,1
508,fantastic.,1
509,Exploring,2
510,local,2
511,flavors,1
512,Airport.,3
513,biryani,1
514,top-notch.,1
515,lounges.,1
516,perfect,1
517,layover.,1
518,options,2
519,cuisine.,1
520,Sushi,1
521,lunch,1
522,Treating,1
523,gourmet,1
524,fine,1
525,dining,2
526,Trying,1
527,craft,1
528,beers,1
529,bar.,1
530,Cheers,1
531,Bangalore.,1
532,Healthy,1
533,aplenty,1
534,salads,1
535,choice,1
536,guilt-free,1
537,meal.,1
538,Spice,1
539,journey,1
540,flavorful,1
541,biryani.,1
542,spice,1
543,levels,1
544,right.,1
545,"flight.Yes,",1
546,please.The,1
547,airport's,3
548,joint,1
549,hit.,1
550,buffet,1
551,delightful,1
552,surprise.,1
553,Great,1
554,way,1
555,start,1
556,day,1
557,healthy,1
558,filling,1
559,Mediterranean,1
560,salad,1
561,lunch.,1
562,wholesome.,1
563,Stuck,1
564,transit.No,1
565,worries.,1
566,spa,1
567,soothing,1
568,herbal,1
569,relax.,1
570,scene,1
571,diverse.,1
572,Tried,1
573,North,1
574,Indian,1
575,cuisine,1
576,dinner.,1
577,landed,1
578,bangalore,65
579,airport,78
580,pleasantly,1
581,surprised,1
582,new,3
583,shops,3
584,amp,3
585,restaurants,29
586,miss,2
587,class,1
588,apart,1
589,want,1
590,open,6
591,vegan,1
592,restaurant,35
593,name,2
594,tempeh,1
595,gowda,1
596,blr,3
597,bbmp,1
598,comm,1
599,surprising,1
600,see,5
601,international,4
602,departures,1
603,care,1
604,segregation,1
605,waste,2
606,food,14
607,non,3
608,one,7
609,bin,1
610,setting,1
611,examples,1
612,even,3
613,though,1
614,may,1
615,worse,1
616,selection,1
617,compared,1
618,delhi,2
619,t3,2
620,much,3
621,beautiful,2
622,say,1
623,aesthetic,1
624,outside,6
625,make,3
626,feel,1
627,like,6
628,city,4
629,red,1
630,sauce,1
631,pasta,1
632,lounge,3
633,better,3
634,many,2
635,whatever,1
636,priced,1
637,bengaluru,1
638,calling,2
639,ccd,1
640,boyzone,1
641,rock,1
642,band,1
643,used,1
644,guitar,1
645,song,1
646,back,2
647,hotel,4
648,work,3
649,nice,2
650,safe,1
651,twice,1
652,mouth,1
653,allergy,1
654,inside,6
655,inspection,1
656,fssaiindia,1
657,become,2
658,lively,1
659,lots,2
660,still,1
661,paying,1
662,emi,1
663,credit,1
664,card,1
665,bill,1
666,incurred,1
667,2,2
668,months,1
669,ago,1
670,sure,3
671,today,1
672,seems,1
673,far,1
674,relaxed,1
675,rush,1
676,sipping,1
677,coke,1
678,lone,1
679,alone,1
680,india,3
681,pblc,1
682,place,2
683,stop,1
684,spending,1
685,money,2
686,social,1
687,media,1
688,build,1
689,long,2
690,time,5
691,car,1
692,parking,1
693,would,4
694,great,4
695,visit,2
696,completed,1
697,malguldi,1
698,days,2
699,really,2
700,pleased,1
701,design,1
702,awesome,2
703,transformation,1
704,find,1
705,shopping,2
706,area,2
707,bars,2
708,remember,1
709,nothing,1
710,except,1
711,roads,1
712,bial,1
713,til,1
714,karnataka,1
715,style,1
716,court,2
717,high,1
718,veena,1
719,stores,4
720,banagalore,1
721,cafe,1
722,equivalent,1
723,mens,1
724,toilet,1
725,near,1
726,wow,2
727,immediately,1
728,terminal,3
729,suddenly,1
730,happening,1
731,loud,1
732,music,1
733,windmills,1
734,people,3
735,generally,1
736,drinking,1
737,chilling,1
738,flight,4
739,choose,2
740,self,1
741,service,2
742,vibrator,1
743,given,1
744,customers,1
745,vibrates,1
746,inform,1
747,go,1
748,get,2
749,counter,1
750,counters,2
751,ones,2
752,beyond,1
753,security,2
754,check,3
755,blrairport,1
756,surprisingly,1
757,single,1
758,pure,1
759,veg,2
760,kiosk,1
761,please,1
762,consider,1
763,sake,1
764,small,3
765,minority,1
766,eat,3
767,cooked,1
768,jm_scindia,1
769,taste,1
770,serves,2
771,plastic,1
772,plates,2
773,whch,1
774,lk,1
775,hv,1
776,bn,1
777,cursorily,1
778,washed,1
779,dspsbl,1
780,t2,1
781,fancy,4
782,indeed,1
783,airports,2
784,hope,1
785,never,1
786,run,2
787,gate,1
788,coz,1
789,navigate,1
790,labyrinthine,1
791,mess,1
792,definitely,1
793,eatrightmonk,1
794,kfc,1
795,mcdonalds,1
796,south,3
797,indian,3
798,filled,1
799,carbs,1
800,biryanis,1
801,etc,2
802,guy,1
803,shouting,1
804,opened,1
805,late,1
806,thus,1
807,huge,1
808,line,1
809,literally,1
810,said,1
811,shameful,1
812,wait,1
813,breakfast,3
814,sum,1
815,sick,1
816,fr,1
817,must,1
818,going,3
819,coringa,1
820,andhra,1
821,yelahanka,1
822,dog,1
823,along,1
824,send,1
825,spend,1
826,businesses,1
827,profit,1
828,handing,1
829,pvt,1
830,increase,1
831,productivity,1
832,employment,1
833,opportunities,1
834,tourism,1
835,kerala,1
836,look,2
837,come,2
838,take,2
839,bombay,1
840,kickass,1
841,parsi,1
842,need,2
843,european,1
844,baggage,1
845,screeners,1
846,stumbling,1
847,half,1
848,asleep,1
849,full,1
850,exhausted,1
851,brain,1
852,swiggy,1
853,pe,1
854,kare,1
855,called,1
856,malgudi,4
857,looks,1
858,well,2
859,thought,1
860,retail,1
861,f,1
862,b,1
863,vegetarian,2
864,tiffin,2
865,box,1
866,something,2
867,idli,2
868,stall,1
869,assure,1
870,u,2
871,roaring,1
872,business,1
873,got,3
874,info,1
875,musicians,1
876,performing,2
877,last,2
878,week,1
879,took,2
880,5,1
881,calls,1
882,yippie,1
883,original,1
884,coorg,1
885,coffee,2
886,theme,1
887,smilebengaluru,1
888,actually,1
889,think,1
890,express,1
891,among,1
892,best,6
893,world,1
894,love,3
895,properly,1
896,planned,1
897,cyber,1
898,townships,1
899,north,1
900,schools,1
901,colleges,1
902,parks,1
903,homes,1
904,cinemas,1
905,workspaces,1
906,wednesday,1
907,delayed,1
908,4hrs,1
909,punny,1
910,coasters,1
911,altavita,1
912,made,1
913,chuckle,1
914,bit,1
915,shutterblurrp,1
916,added,1
917,photo,1
918,pool,1
919,lot,1
920,water,3
921,retailed,1
922,rs,1
923,65,1
924,500,1
925,ml,1
926,volcanic,1
927,regular,1
928,brands,1
929,available,2
930,karnatakavarthe,1
931,particular,1
932,two,1
933,reasons,1
934,serve,1
935,sparrows,2
936,meltwith,1
937,agree,1
938,top,1
939,fresh,1
940,vrooming,1
941,fragrance,1
942,land,1
943,cld,1
944,abt,1
945,traffic,1
946,wld,1
947,equipped,1
948,cafes,1
949,book,1
950,library,1
951,atm,2
952,gorecessionista,1
953,unfortunately,1
954,bottle,1
955,mineral,1
956,absolutely,1
957,chennai,1
958,decent,1
959,good,2
960,art,1
961,swanky,1
962,heart,1
963,weeps,1
964,aaichnairport,1
965,queues,1
966,vendors,1
967,kempegowda_air,1
968,queue,1
969,coming,1
970,2011,1
971,precise,1
972,could,1
973,found,2
974,abundance,1
975,nuisance,1
976,droppings,1
977,picked,1
978,chilli,1
979,story,1
980,interesting,2
981,ilovechilli,1
982,yup,1
983,rt,1
984,thehumerus,1
985,24,1
986,hour,1
987,right,2
988,confirming,1
989,yougomanwhyme,1
990,tiffen,1
991,mid,2
992,sorry,1
993,numerous,1
994,defended,1
995,exactly,1
996,defending,1
997,lack,1
998,decor,1
999,incredible,1
1000,distance,1
1001,live,1
1002,shit,1
1003,zonin,1
1004,prosecco,1
1005,several,1
1006,amazing,1
1007,number,1
1008,bengalis,1
1009,departure,1
1010,despite,1
1011,bengali,1
1012,cannot,1
1013,fight,1
1014,walk,1
1015,quietly,1
1016,la,1
1017,alta,1
1018,vista,1
1019,alternative,1
1020,lounges,2
1021,suck,1
1022,bad,1
1023,nowadays,1
1024,fat,1
1025,feeding,1
1026,leftovers,1
1027,budge,1
1028,approach,1
1029,Bangalore,11
1030,clearly,1
1031,rather,1
1032,I've,1
1033,seen,1
1034,India.,2
1035,Feels,1
1036,architecture,1
1037,desert...,1
1038,soft,1
1039,drinks...,1
1040,Please,1
1041,learn,1
1042,others.,1
1043,Airport,6
1044,domestic,1
1045,lounge!,1
1046,"vibe,",1
1047,food.Trying,1
1048,fit.,1
1049,also,2
1050,B2B,1
1051,ingredients,1
1052,supply,1
1053,business.Yeah,1
1054,around,1
1055,hours,1
1056,reach,1
1057,Sunday,1
1058,BluSmart.,1
1059,Good,1
1060,Food,1
1061,-,1
1062,Coming,1
1063,soon,1
1064,Airport.Image,1
1065,"Bengaluru,",1
1066,Lodged,1
1067,request,1
1068,28,1
1069,Sep,2
1070,repair,1
1071,;,1
1072,27,1
1073,disappointed,1
1074,corporate,1
1075,meal,2
1076,today's,1
1077,Blr,1
1078,Hyd,1
1079,flight.,2
1080,BLR,3
1081,.,1
1082,Hello,1
1083,Rahees,1
1084,",food",1
1085,"great,and",1
1086,beverages,2
1087,fine.,1
1088,variety,1
1089,dosas,1
1090,from.,1
1091,Masala,1
1092,dosa,3
1093,plain,1
1094,"dosa,",1
1095,try,1
1096,today.,2
1097,Grabbed,1
1098,quick,2
1099,Airport's,2
1100,court.,1
1101,aloo,1
1102,paratha,1
1103,fantastic.,1
1104,Exploring,2
1105,local,2
1106,flavors,1
1107,Airport.,3
1108,biryani,1
1109,top-notch.,1
1110,lounges.,1
1111,snacks,1
1112,perfect,1
1113,layover.,1
1114,options,2
1115,cuisine.,1
1116,Sushi,1
1117,lunch,1
1118,Treating,1
1119,gourmet,1
1120,fine,1
1121,dining,2
1122,Trying,1
1123,craft,1
1124,beers,1
1125,bar.,1
1126,Cheers,1
1127,Bangalore.,1
1128,Healthy,1
1129,aplenty,1
1130,salads,1
1131,choice,1
1132,guilt-free,1
1133,meal.,1
1134,Spice,1
1135,journey,1
1136,flavorful,1
1137,biryani.,1
1138,spice,1
1139,levels,1
1140,right.,1
1141,"flight.Yes,",1
1142,please.The,1
1143,airport's,3
1144,joint,1
1145,hit.,1
1146,buffet,1
1147,delightful,1
1148,surprise.,1
1149,Great,1
1150,way,1
1151,start,1
1152,day,1
1153,healthy,1
1154,filling,1
1155,Mediterranean,1
1156,salad,1
1157,lunch.,1
1158,wholesome.,1
1159,Stuck,1
1160,transit.No,1
1161,worries.,1
1162,spa,1
1163,soothing,1
1164,herbal,1
1165,tea,1
1166,relax.,1
1167,scene,1
1168,diverse.,1
1169,Tried,1
1170,North,1
1171,Indian,1
1172,cuisine,1
1173,dinner.,1
1174,don',1
1175,call,2
1176,india,4
1177,land,1
1178,thalis,1
1179,lightly,1
1180,thali,1
1181,restaurant,37
1182,inside,7
1183,bangalore,63
1184,airport,75
1185,ayfkm,1
1186,clockwise,1
1187,rice,1
1188,parotta,1
1189,curd,1
1190,chana,1
1191,dal,2
1192,spiced,1
1193,buttermilk,1
1194,toor,1
1195,sambar,1
1196,fried,3
1197,okra,1
1198,fish,1
1199,stir,1
1200,vegetables,1
1201,chicken,1
1202,chettinad,1
1203,ampayasam,1
1204,landed,1
1205,pleasantly,1
1206,surprised,1
1207,new,3
1208,shops,3
1209,amp,3
1210,restaurants,26
1211,miss,1
1212,class,2
1213,apart,1
1214,want,1
1215,open,6
1216,vegan,1
1217,name,2
1218,tempeh,1
1219,gowda,1
