Topic,Word,Frequency
429,extinct,1
430,urban,1
431,areas,1
432,visit,1
433,india,2
434,funnily,1
435,though,1
436,see,1
437,lots,2
438,move,1
439,w,1
440,fear,1
441,taste,1
442,filled,1
443,mall,1
444,many,3
445,sucks,1
446,big,1
447,sparrow,2
448,invasion,2
449,normal,2
450,flying,1
451,well,1
452,picking,1
453,left,1
454,behind,1
455,best,1
456,company,1
457,u,1
458,get,1
459,species,1
460,wings,1
461,place,1
462,thick,1
463,dense,1
464,fog,1
465,flight,2
466,operations,1
467,go,1
468,haywire,1
469,news,1
470,record,1
471,breaking,1
472,sale,1
473,dosas,1
474,using,1
475,self,1
476,ordering,1
477,kiosk,1
478,dangerous,1
479,rt,1
480,sachinkalbag,1
481,young,1
482,prozpekt,1
483,lol,1
484,n,1
485,half,1
486,smooth,1
487,Landing,1
488,Woman,1
489,Pilots,1
490,Indigo,1
491,6E,1
492,229,1
493,Chennai,1
494,Airport.The,1
495,damn,1
496,good!,1
497,2nd,1
498,pic,1
499,Karela,1
500,(bitter,1
501,gourd).,1
502,Bangalore,5
503,Aviation,1
504,.,2
505,person,1
506,screaming,1
507,water.There,1
508,free,1
509,water,2
510,fountains,1
511,airport.,3
512,Go,1
513,drink,1
514,Checked,1
515,street,2
516,food-style,1
517,stalls,1
518,feel,1
519,I'm,1
520,market.,1
521,Time,1
522,dessert.,1
523,gelato,1
524,Airport,5
525,sweet,1
526,treat,1
527,beat,2
528,heat.,2
529,Love,1
530,BLR,4
531,wide,1
532,selection,1
533,fresh,2
534,fruit,2
535,juices.,1
536,Staying,2
537,healthy,2
538,traveling.,1
539,Tried,2
540,local,3
541,mango,1
542,lassi.,1
543,refreshing.,1
544,miss,1
545,chaat,1
546,stall,1
547,Airport.,3
548,flavor,1
549,explosion,1
550,every,1
551,bite.,1
552,Stumbled,1
553,upon,1
554,bakery,3
555,pastries,1
556,heavenly,1
557,Waiting,1
558,connecting,1
559,plate,1
560,crispy,1
561,pakoras.,1
562,munchies,1
563,best.,1
564,can't,1
565,resist,1
566,aroma,1
567,freshly,1
568,baked,1
569,bread,1
570,bakery.,1
571,"Baguette,",1
572,anyone.,1
573,mini,1
574,festival.,1
575,options.,2
576,"Airport,",1
577,must,1
578,vada,1
579,pav.,1
580,favorite!,1
581,Grabbing,3
582,pizza,1
583,slice,1
584,go.,1
585,airport's,4
586,pizzeria,1
587,makes,1
588,amazing,1
589,thin-crust,1
590,pizzas.,1
591,Garden,1
592,"City,",1
593,locals,1
594,do.,1
595,Savored,1
596,coconut,1
597,courts,1
598,come,1
599,long,1
600,way.,1
601,Airport's,1
602,TRUE,1
603,culinary,1
604,adventure.,1
605,Found,1
606,cute,1
607,little,1
608,picked,1
609,macarons,1
610,journey.,1
611,quick,1
612,bite,1
613,truck.,1
614,kebabs,1
615,mouthwatering.,1
616,Indian,1
617,best.Tried,1
618,pani,1
619,puri,1
620,Stopping,1
621,muffin.,1
622,treats,1
623,perfect,1
624,mid-flight,1
625,snack.,1
626,track,1
627,salad,1
628,juice,1
629,bar.,1
630,Browsing,1
631,duty-free,1
632,shops,1
633,creamy,1
634,milkshake,1
635,hand.,1
636,Shopping,1
637,+,1
638,Shakes,1
639,=,1
640,Happiness.,1
641,tandoori,1
642,platter.,1
643,flavors,1
644,world.,1
645,smoothie,2
646,bar,1
647,kidding,1
648,bangalore,29
649,airport,33
650,food,42
651,court,31
652,like,4
653,downtown,1
654,mountain,1
655,view,1
656,traveled,1
657,mysore,1
658,finding,2
659,petrol,1
660,pump,1
661,difficult,1
662,seem,1
663,forgotten,1
664,suppose,1
665,run,1
666,make,1
667,people,1
668,depart,1
669,arrive,1
670,efficiently,1
671,rather,1
672,looks,1
673,interested,1
674,running,1
675,mall,2
676,choking,1
677,passengers,1
678,pathetic,1
679,kempegowda_air,1
680,blrairport,1
681,til,1
682,karnataka,1
683,style,1
684,restaurant,2
685,t3,1
686,delhi,1
687,high,2
688,time,3
689,one,2
690,veena,1
691,stores,1
692,banagalore,1
693,cafe,1
694,equivalent,1
695,immersed,1
696,book,1
697,didnt,1
698,even,4
699,check,1
700,someone,1
701,sat,1
702,table,1
703,mins,1
704,lot,1
705,murmurs,1
706,ard,1
707,looked,1
708,see,2
709,dravid,1
710,sitting,1
711,nxt,1
712,eating,1
713,finished,1
714,quietly,1
715,walked,1
716,away,1
717,huh,1
718,pretty,1
719,comprehensive,1
720,landside,1
721,2011,1
722,precise,1
723,sparrows,10
724,could,2
725,found,1
726,inside,2
727,terminal,2
728,abundance,1
729,tanuisance,1
730,would,2
731,eat,1
732,droppings,1
733,fact,1
734,last,1
735,saw,1
736,close,2
737,departure,1
738,sharing,1
739,6,1
740,yrs,1
741,ago,1
742,saffrontrail,1
743,livefromalounge,1
744,least,1
745,hot,1
746,fresh,3
747,mumbai,1
748,extent,1
749,mind,1
750,paying,1
751,kind,1
752,pre,1
753,prepared,1
754,stuff,1
755,actually,1
756,happy,1
757,uncut,1
758,fruit,3
759,well,2
760,nuts,1
761,sugar,1
762,etc,1
763,option,1
764,carry,1
765,hopping,1
766,around,3
767,airlines,1
768,charge,1
769,500,1
770,bucks,1
771,crappy,1
772,quite,1
773,decent,1
774,jet,1
775,lounge,1
776,better,1
777,try,2
778,costly,1
779,tasty,1
780,biggest,1
781,challenge,1
782,seat,1
783,birds,1
784,remember,1
785,disturbed,1
786,going,1
787,extinct,1
788,urban,1
789,areas,1
790,visit,1
791,india,2
792,funnily,1
793,though,1
794,lots,2
795,move,1
796,w,1
797,fear,1
798,taste,1
799,filled,1
800,many,3
801,sucks,1
802,big,1
803,sparrow,2
804,invasion,2
805,normal,2
806,flying,1
807,picking,1
808,left,1
809,behind,1
810,best,1
811,company,1
812,u,1
813,get,1
814,species,1
815,wings,1
816,place,1
817,thick,1
818,dense,1
819,fog,1
820,flight,2
821,operations,1
822,go,1
823,haywire,1
824,news,1
825,record,1
826,breaking,1
827,sale,1
828,dosas,1
829,using,1
830,self,1
831,ordering,1
832,kiosk,1
833,dangerous,1
834,rt,1
835,sachinkalbag,1
836,young,1
837,prozpekt,1
838,lol,1
839,n,1
840,half,1
841,smooth,1
842,Landing,1
843,Woman,1
844,Pilots,1
845,Indigo,1
846,6E,1
847,229,1
848,Chennai,1
849,Airport.The,1
850,damn,1
851,good!,1
852,2nd,1
853,pic,1
854,Karela,1
855,(bitter,1
856,gourd).,1
857,Bangalore,5
858,Aviation,1
859,.,2
860,person,1
861,screaming,1
862,water.There,1
863,free,1
864,water,2
865,fountains,1
866,airport.,3
867,Go,1
868,drink,1
869,Checked,1
870,street,2
871,food-style,1
872,stalls,1
873,feel,1
874,I'm,1
875,market.,1
876,Time,1
877,dessert.,1
