Topic,Word,Frequency
424,bangalore,61
425,airport,59
426,ninchi,1
427,baitaki,1
428,raagane,1
429,micro,1
430,goa,2
431,feels,1
432,cafes,7
433,resto,1
434,bars,1
435,brewery,2
436,early,1
437,morning,2
438,flight,2
439,catch,1
440,one,6
441,shud,1
442,go,2
443,late,1
444,night,2
445,try,2
446,open,1
447,soul,1
448,mate,1
449,breeze,1
450,awesome,1
451,check,5
452,mitti,1
453,cafe,48
454,around,1
455,purpose,1
456,driven,1
457,initiative,1
458,enabling,1
459,differently,1
460,abled,1
461,socent,1
462,.,1
463,tomorrow,1
464,project,1
465,special,1
466,previous,1
467,orgn,1
468,amp,1
469,personal,1
470,interest,1
471,inaugurated,1
472,blr,1
473,attend,1
474,event,1
475,pls,2
476,passing,1
477,thro,1
478,patronise,1
479,life,2
480,changing,1
481,experience,1
482,amitticafe,1
483,airtel,1
484,presence,1
485,able,1
486,get,3
487,5g,1
488,network,3
489,visited,1
490,outlet,1
491,staff,2
492,member,1
493,said,1
494,advertisement,1
495,attached,2
496,screenshot,1
497,reference,1
498,location,1
499,near,1
500,landmark,1
501,pic,1
502,request,2
503,send,1
504,team,1
505,test,1
506,let,1
507,also,4
508,say,1
509,100x,1
510,cooler,1
511,vibe,1
512,feel,2
513,delhi,2
514,step,1
515,outside,4
516,gates,1
517,see,1
518,lively,1
519,place,3
520,really,2
521,nice,2
522,ambience,1
523,multiple,1
524,restaurants,3
525,shops,1
526,green,2
527,area,2
528,etc,1
529,anyone,2
530,want,3
531,hang,1
532,bar,1
533,tempted,1
534,never,2
535,time,3
536,energy,1
537,til,1
538,karnataka,3
539,style,1
540,restaurant,2
541,t3,1
542,food,2
543,court,1
544,high,1
545,veena,1
546,stores,2
547,banagalore,1
548,equivalent,1
549,bubble,2
550,stranger,1
551,offered,1
552,co,1
553,founder,1
554,role,1
555,crypto,2
556,startup,1
557,10,1
558,minute,1
559,chat,1
560,startups,1
561,peak,1
562,bengaluru,2
563,far,1
564,seen,1
565,lovely,1
566,weather,1
567,absolutely,1
568,adorable,2
569,pink,1
570,trees,1
571,explore,1
572,culture,1
573,tech,1
574,hub,1
575,biryani,1
576,everyone,2
577,talks,1
578,traffic,1
579,else,2
580,would,2
581,recommend,1
582,definitely,2
583,playing,1
584,w,1
585,fire,1
586,goes,1
587,played,1
588,random,1
589,street,1
590,dogratishaa,1
591,beautiful,2
592,video,1
593,made,2
594,day,10
595,saw,1
596,sparrows,4
597,inside,3
598,several,1
599,number,1
600,husband,1
601,g,1
602,standing,1
603,behind,1
604,rahul,1
605,dravid,2
606,queue,1
607,fan,1
608,came,1
609,picture,1
610,politely,1
611,firmly,1
612,refused,1
613,seemed,1
614,preoccupied,1
615,reluctant,1
616,engage,1
617,right,1
618,mark,1
619,social,1
620,boundaries,1
621,got,1
622,breweries,1
623,sweetshops,1
624,whatever,1
625,need,3
626,wish,1
627,indian,2
628,flag,1
629,tricolour,1
630,tajbangalore,1
631,ashwinrb,1
632,iphonexs,1
633,iphoneography,1
634,shotoniphone,1
635,77,1
636,east,1
637,taj,1
638,good,4
639,drink,1
640,beer,3
641,windmills,2
642,minimalism,2
643,cafeteller,1
644,cafehopper,1
645,teampixel,1
646,cafelife,1
647,caferacersofinstagram,1
648,nammabengaluru,1
649,waiting,2
650,become,1
651,interesting,1
652,adventurous,1
653,barleys,1
654,grapes,1
655,kempegowda,1
656,international,1
657,lounge,3
658,noir,4
659,gives,1
660,way,4
661,freshmenu,1
662,meanwhile,1
663,maiyya,1
664,next,2
665,door,1
666,continues,1
667,rock,1
668,fave,1
669,hatti,1
670,kappi,1
671,subway,1
672,something,1
673,plus,1
674,seating,1
675,overheard,1
676,looks,1
677,like,2
678,lalit,1
679,modi,1
680,happy,1
681,new,2
682,year,3
683,lemon,1
684,tart,1
685,pretty,1
686,damn,1
687,may,1
688,tarty,1
689,buggers,1
690,player,1
691,jersey,1
692,speaking,1
693,odia,1
694,slangs,1
695,aloud,1
696,even,2
697,sports,1
698,change,1
699,assholes,1
700,french,2
701,sells,2
702,raja,1
703,mumbai,1
704,idea,1
705,ghadazien,1
706,man,1
707,struggling,1
708,alu,1
709,paratha,1
710,fork,1
711,knife,1
712,torture,1
713,watch,1
714,ist,1
715,exchanged,1
716,words,1
717,kullhar,1
718,south,1
719,must,1
720,kinds,1
721,idli,1
722,vada,1
723,masala,2
724,dosa,1
725,malgudi,1
726,janat,1
727,start,4
728,greeted,1
729,followed,1
730,breakfast,3
731,brahmins,1
732,smoke,1
733,latte,1
734,smoking,1
735,zone,1
736,bliss,1
737,fresh,2
738,juices,1
739,caramel,1
740,coffee,14
741,cafenoir,1
742,best,2
743,discovered,1
744,drinking,1
745,hot,4
746,without,1
747,sugar,1
748,alone,1
749,sucks,1
750,pl,2
751,train,1
752,take,1
753,orders,1
754,serve,1
755,properly,1
756,hate,2
757,monopolies,1
758,casual,1
759,coming,1
760,7,1
761,course,1
762,snacks,1
763,gulpanag,1
764,gud,1
765,gul,1
766,enjoy,1
767,distance,1
768,india,2
769,cunningham,1
770,rd,1
771,well,1
772,equipped,1
773,book,2
774,library,1
775,atm,1
776,shopping,2
777,lived,1
778,grown,1
779,crumbs,2
780,constant,1
781,refrain,1
782,tweets,1
783,chai,2
784,point,1
785,serves,1
786,boiled,1
787,tea,4
788,though,1
789,costs,1
790,rs,1
791,25,1
792,cannot,1
793,b,1
794,customized,1
795,still,1
796,better,2
797,brown,1
798,diarrhea,1
799,reached,1
800,wait,1
801,4,1
802,hours,1
803,currently,1
804,sitting,1
805,hall,6
806,domestic,3
807,terminal,3
808,bangalor,1
809,guy,2
810,moved,1
811,remembered,1
812,2,1
813,years,1
814,ago,1
815,order,1
816,mocha,1
817,cafecoffeedaycafe,1
818,served,1
819,tamarind,1
820,sauce,1
821,sandwich,1
822,local,2
823,favorite,1
824,think,1
825,cafecoffeeday,1
826,wtf,1
827,stole,1
828,seat,2
829,eventhough,1
830,reserved,1
831,tissue,1
832,packet,1
833,kind,1
834,people,1
835,wanted,1
836,fmr,1
837,wants,1
838,join,1
839,gate,1
840,20,1
841,audacious,1
842,atwitter,1
843,table,1
844,foraging,1
845,water,1
846,airports,1
847,flight.,2
848,"Requesting,This",1
849,week,1
850,paid,1
851,Starbucks,1
852,Bangalore,3
853,Sydney,1
854,airport.,3
855,chance,1
856,drop,1
857,Wolfgang,1
858,Puck,1
859,Airport,3
860,T2,1
861,left,1
862,super,1
863,unimpressed!,1
864,avocado,1
865,toast,1
866,Caesar,1
867,salad.,1
868,Food,1
869,average,1
870,service.,1
871,First,1
872,stop,1
873,BLR,1
874,Airport:,1
875,piping,1
876,cup,6
877,filter,2
878,coffee.,1
879,There's,1
880,nothing,1
881,South,1
882,Indian,1
883,day.,2
884,Quick,1
885,bite,1
886,sandwiches,1
887,delicious.,1
888,Hopping,1
889,flights?,1
890,Grab,1
891,quick,1
892,espresso,1
893,keep,1
894,awake,1
895,energized.,1
896,chocolate,1
897,hand.,1
898,miss,1
899,opportunity,1
900,savor,1
901,I'm,2
902,Bangalore.,1
903,calm,1
904,pre-flight,1
905,jitters.,1
906,airport's,3
907,selection,1
908,impressive.,1
909,Bangalore's,1
910,famous,1
911,wake,1
912,gem.,1
913,Exploring,1
914,bookshop.,1
915,chamomile,1
916,complements,1
917,perfectly.,1
918,always,1
919,buttermilk,1
920,refreshing.,1
921,Late-night,1
922,craving.,1
923,24-Jul,1
924,shop,1
925,savior.,1
926,Sunday,1
927,view.,1
928,great,1
929,bangalore,58
930,airport,56
931,ninchi,1
932,baitaki,1
933,raagane,1
934,micro,1
935,goa,2
936,feels,1
937,cafes,7
938,resto,1
939,bars,1
940,brewery,2
941,early,1
942,morning,2
943,flight,2
944,catch,1
945,one,6
946,shud,1
947,go,2
948,late,1
949,night,2
950,try,2
951,open,1
952,soul,1
953,mate,1
954,breeze,1
955,awesome,1
956,check,5
957,mitti,1
958,cafe,46
959,around,1
960,purpose,1
961,driven,1
962,initiative,1
963,enabling,1
